fecha,hora,mmsi,nombre,zona
2026-09-02,13:27:59,701006443,MAYU,SanLorenzo
2026-09-02,13:27:59,311001602,,SanLorenzo
2026-09-02,13:27:59,352006821,AQUAPEACE,SanLorenzo
2026-09-02,13:27:59,319995000,EQUINOX GALINI,SanLorenzo
2026-09-02,13:27:59,755120000,YERUTI I,SanLorenzo
2026-09-02,13:27:59,311000622,LIMNIONAS,SanLorenzo
2026-09-02,13:27:59,538090690,LEONARDO,SanLorenzo
2026-09-02,13:27:59,538012594,KAPETANIOS,SanLorenzo
2026-09-02,13:27:59,538010750,TOKYO SPIRIT,SanLorenzo
2026-09-02,13:27:59,311002230,PVT PERIDOT,SanLorenzo
2026-09-02,13:27:59,636025392,LEFKADA I,SanLorenzo
2026-09-02,13:27:59,352006096,PALEXPO,SanLorenzo
2026-09-02,13:27:59,563169800,RUBY,SanLorenzo
2026-09-02,13:27:59,701006413,PUNTA  LOYOLA,SanLorenzo
2026-09-02,13:27:59,701001057,VALENTINA H,SanLorenzo
2026-09-02,13:27:59,314899000,FAROUK M,SanLorenzo
2026-09-02,13:27:59,373240000,DRINA S,SanLorenzo
2026-09-02,13:27:59,755126000,LATERE,SanLorenzo
2026-09-02,13:27:59,7010004,,SanLorenzo
2026-09-02,13:27:59,232059113,BERGE JUNGFRAU,SanLorenzo
2026-09-02,13:27:59,701006675,CAMPEADOR,SanLorenzo
2026-09-02,13:27:59,710071000,MARCOS DIAS,SanLorenzo
2026-09-02,13:27:59,636024043,TG CRAB,SanLorenzo
2026-09-02,13:27:59,701006858,CUECA,SanLorenzo
2026-09-02,13:27:59,477932500,ROSCO BANYAN,SanLorenzo
2026-09-02,13:27:59,755032000,RUBEN H,SanLorenzo
2026-09-02,13:27:59,755045702,NORA E,SanLorenzo
2026-09-02,13:27:59,538007856,IRENE,SanLorenzo
2026-09-02,13:27:59,229732000,YANNIS,SanLorenzo
2026-09-02,13:27:59,755201114,AGUILUCHO,SanLorenzo
2026-09-02,13:27:59,755002941,HERKULES IV,SanLorenzo
2026-09-02,13:27:59,720687000,JAN CONNOR,SanLorenzo
2026-09-02,13:27:59,755136000,IMPALA LADARIO,SanLorenzo
2026-09-02,13:27:59,755177000,CABALLERO BLANCO.,SanLorenzo
2026-09-02,13:27:59,755008000,SARA A,SanLorenzo
2026-09-02,13:27:59,755088000,DECATUR LADY,SanLorenzo
2026-09-02,13:27:59,755004665,TIO JAN,SanLorenzo
2026-09-02,13:27:59,253608000,AFONSO DE ALBUQUERQU,SanLorenzo
2026-09-02,13:27:59,563302500,IRVINE BAY,SanLorenzo
2026-09-02,13:27:59,701006670,BRUTUS,SanLorenzo
2026-09-02,13:27:59,538006458,ODYSSEUS N,SanLorenzo
2026-09-02,13:27:59,701006926,FAVORITO SAN ANTONIO,SanLorenzo
2026-09-02,13:27:59,701006297,ANTONIO MARIA FERRO,SanLorenzo
2026-09-02,13:27:59,755004071,GUYRATI,SanLorenzo
2026-09-02,13:27:59,564751000,MTM NEW YORK,SanLorenzo
2026-09-02,13:27:59,701006899,DON BASILIO,SanLorenzo
2026-09-02,13:27:59,720947000,HB PHOENIX,SanLorenzo
2026-09-02,13:27:59,636024698,MC CALYPSO,SanLorenzo
2026-09-02,13:27:59,701001264,TRIUNFOS,SanLorenzo
2026-09-02,13:27:59,755001797,PARAPITI.,SanLorenzo
2026-09-02,13:27:59,645143000,SURUBI,SanLorenzo
2026-09-02,13:27:59,701001404,GUAZU PUCU,SanLorenzo
2026-09-02,13:27:59,755084000,RIO DE LA PLATA,SanLorenzo
2026-09-02,13:27:59,755021000,CAVALIER VII,SanLorenzo
2026-09-02,13:27:59,701098000,PUNTA MEDANOS,SanLorenzo
2026-09-02,13:27:59,636093258,EMMA JANNEKE,SanLorenzo
2026-09-02,13:27:59,755000020,AGUARA,SanLorenzo
2026-09-02,13:27:59,701001423,GRISEL N,SanLorenzo
2026-09-02,13:27:59,636016601,,Rosario
2026-09-02,13:27:59,538008393,,Rosario
2026-09-02,13:27:59,209927000,,Rosario
2026-09-02,13:27:59,755082000,,Rosario
2026-09-02,13:27:59,720947000,,Rosario
2026-09-02,13:27:59,352006821,,Rosario
2026-09-02,13:27:59,755004071,,Rosario
2026-09-02,13:27:59,311002230,,Rosario
2026-09-02,13:27:59,701006443,,Rosario
2026-09-02,13:27:59,755075000,,Rosario
2026-09-02,13:27:59,720687000,,Rosario
2026-09-02,13:27:59,755201114,,Rosario
2026-09-02,13:27:59,755177000,,Rosario
2026-09-02,13:27:59,755021000,,Rosario
2026-09-02,13:27:59,312791000,,Rosario
2026-09-02,13:27:59,701503000,GC77 GFO SAN MATIAS,Rosario
2026-09-02,13:27:59,755008000,,Rosario
2026-09-02,13:27:59,701001404,,Rosario
2026-09-02,13:27:59,249142000,KOZNITZA,Rosario
2026-09-02,13:27:59,256685000,RODINA,Rosario
2026-09-02,13:27:59,701006242,,Rosario
2026-09-02,13:27:59,352001142,GLORY FIRST,Rosario
2026-09-02,13:27:59,755045702,,Rosario
2026-09-02,13:27:59,538008779,LIVADI,Rosario
2026-09-02,13:27:59,563234800,IVS DUNES,Rosario
2026-09-02,13:27:59,357458000,BULK ITALY,Rosario
2026-09-02,13:27:59,720671000,IB ROSARIO,Rosario
2026-09-02,13:27:59,352002288,CENTURION SIGNIFER,Rosario
2026-09-02,13:27:59,755091000,,Rosario
2026-09-02,13:27:59,257897000,BOW FIRDA,Rosario
2026-09-02,13:27:59,538004184,BLACK PEARL,Rosario
2026-09-02,13:27:59,352004948,OBE UNITY,Rosario
2026-09-02,13:27:59,311001602,SAGA ANDORINHA,Rosario
2026-09-02,13:27:59,755134000,LADOCE H,Rosario
2026-09-02,13:27:59,311000622,LIMNIONAS,Rosario
2026-09-02,13:27:59,538090690,LEONARDO,Rosario
2026-09-02,13:27:59,538012594,KAPETANIOS,Rosario
2026-09-02,13:27:59,538010750,TOKYO SPIRIT,Rosario
2026-09-02,13:27:59,636025392,LEFKADA I,Rosario
2026-09-02,13:27:59,352006096,PALEXPO,Rosario
2026-09-02,13:27:59,563169800,RUBY,Rosario
2026-09-02,13:27:59,755088000,,Rosario
2026-09-02,13:27:59,701006679,COOPOR ESTIBADOR I,Rosario
2026-09-02,13:27:59,755032000,,Rosario
2026-09-02,13:27:59,373240000,DRINA S,Rosario
2026-09-02,13:27:59,7010004,,Rosario
2026-09-02,13:27:59,701006245,SAN JOSE V,Rosario
2026-09-02,13:27:59,232059113,BERGE JUNGFRAU,Rosario
2026-09-02,13:27:59,701006675,CAMPEADOR,Rosario
2026-09-02,13:27:59,710071000,MARCOS DIAS,Rosario
2026-09-02,13:27:59,701006670,BRUTUS,Rosario
2026-09-02,13:27:59,477932500,ROSCO BANYAN,Rosario
2026-09-02,13:27:59,636024043,TG CRAB,Rosario
2026-09-02,13:27:59,755001797,PARAPITI.,Rosario
2026-09-02,13:27:59,229732000,YANNIS,Rosario
2026-09-02,13:27:59,538007856,IRENE,Rosario
2026-09-02,13:27:59,755136000,IMPALA LADARIO,Rosario
2026-09-02,13:27:59,701098000,PUNTA MEDANOS,Rosario
2026-09-02,13:27:59,755004665,TIO JAN,Rosario
2026-09-02,13:27:59,253608000,AFONSO DE ALBUQUERQU,Rosario
2026-09-02,13:27:59,563302500,IRVINE BAY,Rosario
2026-09-02,13:27:59,538006458,ODYSSEUS N,Rosario
2026-09-02,13:27:59,701006926,FAVORITO SAN ANTONIO,Rosario
2026-09-02,13:27:59,701006297,ANTONIO MARIA FERRO,Rosario
2026-09-02,13:27:59,636024698,MC CALYPSO,Rosario
2026-09-02,13:27:59,701006856,PILCOMAYO,Rosario
2026-09-02,13:27:59,564751000,MTM NEW YORK,Rosario
2026-09-02,13:27:59,701006858,CUECA,Rosario
2026-09-02,13:27:59,701006899,DON BASILIO,Rosario
2026-09-02,13:27:59,701001264,TRIUNFOS,Rosario
2026-09-02,13:27:59,645143000,SURUBI,Rosario
2026-09-02,13:27:59,755084000,RIO DE LA PLATA,Rosario
2026-09-02,13:27:59,636093258,,Rosario
2026-09-02,13:27:59,755000020,AGUARA,Rosario
2026-09-02,13:27:59,701001423,GRISEL N,Rosario
2026-09-02,13:27:59,211881000,SEATROUT,DelGuazu
2026-09-02,13:27:59,701006265,,DelGuazu
2026-09-02,13:27:59,755003696,,DelGuazu
2026-09-02,13:27:59,701006643,,DelGuazu
2026-09-02,13:27:59,755241100,PENELOPE,DelGuazu
2026-09-02,13:27:59,701006803,ANTONIO PUGLIESE,DelGuazu
2026-09-02,13:27:59,755003887,MARIA A,BellaVista
2026-09-02,13:27:59,755085000,DON MAURICIO G,BellaVista
2026-09-02,13:27:59,755079000,DR.SALGADO H,BellaVista
2026-09-02,13:27:59,755171000,IB CONCEPCION,BellaVista
2026-09-02,13:27:59,755043000,AVA PAYAGUA,BellaVista
2026-09-02,13:27:59,720757000,,BellaVista
2026-09-02,13:27:59,720986000,HB AQUARIUS,BellaVista
2026-09-02,13:27:59,701006933,DON MIGUEL,BellaVista
2026-09-02,13:27:59,755005068,GF GUARANI,BellaVista
2026-09-02,13:27:59,755039000,RE CAVALIER I,BellaVista
2026-09-02,13:27:59,755109000,INTREPIDO,BellaVista
2026-09-02,13:27:59,755137000,R/E DONA KEIKO,BellaVista
2026-09-02,13:27:59,701001056,ENRICO H,BellaVista
2026-09-02,13:27:59,755096000,HUMAITA,BellaVista
2026-09-02,13:27:59,755905000,DON JUAN,BellaVista
2026-09-02,13:27:59,755018000,CAPTAIN BILBO,BellaVista
2026-09-02,13:27:59,720954000,HB PERSEUS,BellaVista
2026-09-02,13:27:59,755194200,DON EDUARDO,BellaVista
2026-09-02,13:27:59,755003000,RIO PIRARETA,BellaVista
2026-09-02,13:27:59,755004073,MBIGUA\,BellaVista
2026-09-05,16:50:11,563319600,CUTLASS GALAXY,SanLorenzo
2026-09-05,16:50:11,538008276,,SanLorenzo
2026-09-05,16:50:11,564751000,,SanLorenzo
2026-09-05,16:50:11,477932500,ROSCO BANYAN,SanLorenzo
2026-09-05,16:50:11,563169800,RUBY,SanLorenzo
2026-09-05,16:50:11,701503000,GC77 GFO SAN MATIAS,SanLorenzo
2026-09-05,16:50:11,538006458,ODYSSEUS N,SanLorenzo
2026-09-05,16:50:11,636015600,F. F GLORY,SanLorenzo
2026-09-05,16:50:11,477754600,MAERSK VENEZIA,SanLorenzo
2026-09-05,16:50:11,257897000,BOW FIRDA,SanLorenzo
2026-09-05,16:50:11,538006504,DANK SILVER,SanLorenzo
2026-09-05,16:50:11,538004481,AGIA PARASKEVI,SanLorenzo
2026-09-05,16:50:11,701006856,,SanLorenzo
2026-09-05,16:50:11,314952000,DSM HARBOUR,SanLorenzo
2026-09-05,16:50:11,538010750,TOKYO SPIRIT,SanLorenzo
2026-09-05,16:50:11,636093258,EMMA JANNEKE,SanLorenzo
2026-09-05,16:50:11,311000195,CS SARAFINA,SanLorenzo
2026-09-05,16:50:11,256685000,RODINA,SanLorenzo
2026-09-05,16:50:11,351011000,OCEAN CROWN,SanLorenzo
2026-09-05,16:50:11,636024043,TG CRAB,SanLorenzo
2026-09-05,16:50:11,563234800,IVS DUNES,SanLorenzo
2026-09-05,16:50:11,538008779,LIVADI,SanLorenzo
2026-09-05,16:50:11,755085000,DON MAURICIO G,SanLorenzo
2026-09-05,16:50:11,701001057,VALENTINA H,SanLorenzo
2026-09-05,16:50:11,538090690,LEONARDO,SanLorenzo
2026-09-05,16:50:11,255916599,RANA,SanLorenzo
2026-09-05,16:50:11,241624000,LEGEND,SanLorenzo
2026-09-05,16:50:11,352004948,OBE UNITY,SanLorenzo
2026-09-05,16:50:11,352006388,NORSE BORNHOLM,SanLorenzo
2026-09-05,16:50:11,352006096,PALEXPO,SanLorenzo
2026-09-05,16:50:11,636023426,TOUBKAL PARK,SanLorenzo
2026-09-05,16:50:11,701006466,NEPTUNO,SanLorenzo
2026-09-05,16:50:11,255915742,BOCHEM CASABLANCA,SanLorenzo
2026-09-05,16:50:11,538012594,KAPETANIOS,SanLorenzo
2026-09-05,16:50:11,538009801,HELIOS,SanLorenzo
2026-09-05,16:50:11,355174000,APOGEE SPIRIT,SanLorenzo
2026-09-05,16:50:11,563163900,ANNA SCHULTE,SanLorenzo
2026-09-05,16:50:11,538008936,SOUND YOUNG,SanLorenzo
2026-09-05,16:50:11,7010004,,SanLorenzo
2026-09-05,16:50:11,755088000,,SanLorenzo
2026-09-05,16:50:11,701001201,GAVION,SanLorenzo
2026-09-05,16:50:11,701006721,PRIM FLORES,SanLorenzo
2026-09-05,16:50:11,701006899,DON BASILIO,SanLorenzo
2026-09-05,16:50:11,701001163,007,SanLorenzo
2026-09-05,16:50:11,701006297,ANTONIO MARIA FERRO,SanLorenzo
2026-09-05,16:50:11,563151400,FRANCESCO,SanLorenzo
2026-09-05,16:50:11,755177000,CABALLERO BLANCO.,SanLorenzo
2026-09-05,16:50:11,636015971,STOLT ZULU,SanLorenzo
2026-09-05,16:50:11,755991013,PUMA,SanLorenzo
2026-09-05,16:50:11,701006900,DON MARIO I,SanLorenzo
2026-09-05,16:50:11,701006740,GUILLERMO C,SanLorenzo
2026-09-05,16:50:11,701006858,CUECA,SanLorenzo
2026-09-05,16:50:11,701006245,SAN JOSE V,SanLorenzo
2026-09-05,16:50:11,701006675,CAMPEADOR,SanLorenzo
2026-09-05,16:50:11,755032000,RUBEN H,SanLorenzo
2026-09-05,16:50:11,701006926,FAVORITO SAN ANTONIO,SanLorenzo
2026-09-05,16:50:11,755075000,IMPALA CAMPANA.,SanLorenzo
2026-09-05,16:50:11,563033900,TORM SUPREME,SanLorenzo
2026-09-05,16:50:11,701001049,BUENAVENTURA,SanLorenzo
2026-09-05,16:50:11,701006966,TIGRE,SanLorenzo
2026-09-05,16:50:11,701006396,VB RECOLETA,SanLorenzo
2026-09-05,16:50:11,710000019,HERACLITO FILHO,SanLorenzo
2026-09-05,16:50:11,755002724,SANTA MARIA,SanLorenzo
2026-09-05,16:50:11,701006443,MAYU,SanLorenzo
2026-09-05,16:50:11,229732000,YANNIS,SanLorenzo
2026-09-05,16:50:11,755703668,URUTAU,SanLorenzo
2026-09-05,16:50:11,373240000,DRINA S,SanLorenzo
2026-09-05,16:50:11,755001797,PARAPITI.,SanLorenzo
2026-09-05,16:50:11,755134000,LADOCE H,SanLorenzo
2026-09-05,16:50:11,755000020,AGUARA,SanLorenzo
2026-09-05,16:50:11,701001404,GUAZU PUCU,SanLorenzo
2026-09-05,16:50:11,352004948,OBE UNITY,Rosario
2026-09-05,16:50:11,755991013,,Rosario
2026-09-05,16:50:11,373240000,DRINA S,Rosario
2026-09-05,16:50:11,255915742,BOCHEM CASABLANCA,Rosario
2026-09-05,16:50:11,538009801,HELIOS,Rosario
2026-09-05,16:50:11,477932500,ROSCO BANYAN,Rosario
2026-09-05,16:50:11,701503000,GC77 GFO SAN MATIAS,Rosario
2026-09-05,16:50:11,645181000,DN67,Rosario
2026-09-05,16:50:11,538006458,ODYSSEUS N,Rosario
