fecha,hora,puerto,mmsi,nombre,distancia_m,zona
2026-09-02,13:27:59,Puerto Zárate,477754600,MAERSK VENEZIA,105.9,DelGuazu
2026-09-02,13:27:59,Delta Dock S.A.,229141000,DIAMOND SKY,134.2,DelGuazu
2026-09-02,13:27:59,Puerto Zárate,308369000,GOLIATH LEADER,147.5,DelGuazu
2026-09-02,13:27:59,Terminal Zarate S.A.,477006700,CHIPOL HUANGHE,118.0,DelGuazu
2026-09-02,13:27:59,Maripasa S.A.,755001631,DON LUCHO,280.2,DelGuazu
2026-09-02,13:27:59,Carboclor S.A.,636023385,HYGGE,122.6,DelGuazu
2026-09-02,13:27:59,Vitco S.A.,755201178,NUAR B.,118.4,DelGuazu
2026-09-02,13:27:59,R.h.a.s.a. - Pobater,701006318,MAMACOTA,159.8,DelGuazu
2026-09-05,16:50:11,Louis Dreyfus y Cia. Ltda. Muelle Aceitero,538008276,,218.2,SanLorenzo
2026-09-05,16:50:11,Muelle Alumbrera,564751000,,175.5,SanLorenzo
2026-09-05,16:50:11,Cofco Internacional Argentina S.A.,563169800,RUBY,148.1,SanLorenzo
2026-09-05,16:50:11,Vicentin S.A.I.C,357458000,BULK ITALY,198.1,SanLorenzo
2026-09-05,16:50:11,Terminal 6 S.A. Muelle Norte,636015600,F. F GLORY,149.3,SanLorenzo
2026-09-05,16:50:11,Puerto Rosario S. A. Terminal 1,477754600,MAERSK VENEZIA,68.1,SanLorenzo
2026-09-05,16:50:11,Louis Dreyfus y Cia. Ltda. Timbúes,341694002,H7 HSB5,334.9,SanLorenzo
2026-09-05,16:50:11,Terminal 6 S.A. Muelle Sur,538004481,AGIA PARASKEVI,139.1,SanLorenzo
2026-09-05,16:50:11,Cofco S.A.,636024698,MC CALYPSO,144.7,SanLorenzo
2026-09-05,16:50:11,Unidad VI Servicios Portuarios S.A.,538010750,TOKYO SPIRIT,182.6,SanLorenzo
2026-09-05,16:50:11,Central Termoeléctrica Timbués Renova,636093258,EMMA JANNEKE,286.8,SanLorenzo
2026-09-05,16:50:11,Bunge - La Plata Cereal S.A. Muelle Dempa,256685000,RODINA,152.0,SanLorenzo
2026-09-05,16:50:11,Central Termoeléctrica Timbués Renova,563234800,IVS DUNES,159.8,SanLorenzo
2026-09-05,16:50:11,Bunge - La Plata Cereal S.A.,538004184,BLACK PEARL,189.7,SanLorenzo
2026-09-05,16:50:11,Terminal Chacabuco YPF,701001114,IGUAZU,117.1,SanLorenzo
2026-09-05,16:50:11,Terminal Chacabuco YPF,701001057,VALENTINA H,123.1,SanLorenzo
2026-09-05,16:50:11,Terminal Chacabuco YPF,701001307,MAX DREAM,99.4,SanLorenzo
2026-09-05,16:50:11,Cargill S.A. Villa Gdor. Gálvez,241624000,LEGEND,322.1,SanLorenzo
2026-09-05,16:50:11,Mosaic S.A. Muelle De Fertilizantes,352006388,NORSE BORNHOLM,187.0,SanLorenzo
2026-09-05,16:50:11,Unidad VI Servicios Portuarios S.A.,538012594,KAPETANIOS,154.4,SanLorenzo
2026-09-05,16:50:11,Molinos Rí­o De La Plata,256672000,ARIETTA,370.8,SanLorenzo
2026-09-05,16:50:11,Terminal Chacabuco YPF,701001324,HALCON,116.9,SanLorenzo
2026-09-05,16:50:11,Axion San Lorenzo,538009801,HELIOS,156.7,SanLorenzo
2026-09-05,16:50:11,Puerto San Lorenzo,563163900,ANNA SCHULTE,109.4,SanLorenzo
2026-09-05,16:50:11,Cargill S.A. Muelle Quebracho,538008936,SOUND YOUNG,217.0,SanLorenzo
2026-09-05,16:50:11,Yeruvá S.A.,701006297,ANTONIO MARIA FERRO,102.1,SanLorenzo
2026-09-05,16:50:11,ADM Agro Terminal El Tránsito,563033900,TORM SUPREME,87.7,SanLorenzo
2026-09-05,16:50:11,Cofco S.A.,701006396,VB RECOLETA,221.3,SanLorenzo
2026-09-05,16:50:11,Puerto Diamante,701006803,ANTONIO PUGLIESE,452.6,SanLorenzo
2026-09-05,16:50:11,Cargill S.A. Punta Alvear,538011430,SOFIA,111.5,SanLorenzo
2026-09-05,16:50:11,Axion San Lorenzo,538009801,HELIOS,156.5,Rosario
2026-09-05,16:50:11,Vicentin S.A.I.C,357458000,BULK ITALY,198.1,Rosario
2026-09-05,16:50:11,Puerto Rosario S. A. Terminal 1,477754600,MAERSK VENEZIA,68.1,Rosario
2026-09-05,16:50:11,Unidad VI Servicios Portuarios S.A.,538010750,TOKYO SPIRIT,182.6,Rosario
2026-09-05,16:50:11,Bunge - La Plata Cereal S.A. Muelle Dempa,256685000,RODINA,152.0,Rosario
2026-09-05,16:50:11,Bunge - La Plata Cereal S.A.,538004184,BLACK PEARL,189.7,Rosario
2026-09-05,16:50:11,Cargill S.A. Villa Gdor. Gálvez,241624000,LEGEND,322.1,Rosario
2026-09-05,16:50:11,Mosaic S.A. Muelle De Fertilizantes,352006388,NORSE BORNHOLM,187.0,Rosario
2026-09-05,16:50:11,Louis Dreyfus y Cia. Ltda. Muelle Aceitero,538008276,PORT IMABARI,218.2,Rosario
2026-09-05,16:50:11,Puerto Villa Constitución Unidad II,701006679,,81.4,Rosario
2026-09-05,16:50:11,Unidad VI Servicios Portuarios S.A.,538012594,KAPETANIOS,154.4,Rosario
2026-09-05,16:50:11,Molinos Rí­o De La Plata,256672000,ARIETTA,370.8,Rosario
2026-09-05,16:50:11,Puerto San Lorenzo,563163900,ANNA SCHULTE,109.4,Rosario
2026-09-05,16:50:11,Cargill S.A. Muelle Quebracho,538008936,SOUND YOUNG,217.0,Rosario
2026-09-05,16:50:11,Yeruvá S.A.,701006297,ANTONIO MARIA FERRO,102.1,Rosario
2026-09-05,16:50:11,Cofco S.A.,701006396,VB RECOLETA,221.3,Rosario
2026-09-05,16:50:11,Cargill S.A. Punta Alvear,538011430,SOFIA,111.5,Rosario
2026-09-05,16:50:11,Carboclor S.A.,215622000,TAXIDIARA,115.8,DelGuazu
2026-09-05,16:50:11,Siderca S.A.,636019109,JY LAKE,377.4,DelGuazu
2026-09-05,16:50:11,Terminal Zarate S.A.,636025521,ITHACA,133.5,DelGuazu
2026-09-05,16:50:11,Terminal Zarate S.A.,755138000,INCANSABLE,63.3,DelGuazu
2026-09-05,16:50:11,Esso S.a.p.a.,701137000,PUNTA PIRAMIDES,446.6,DelGuazu
2026-09-05,16:50:11,Maripasa S.A.,701006643,DON RAXYZ,212.7,DelGuazu
2026-09-05,16:50:11,Maripasa S.A.,755201178,NUAR B.,188.0,DelGuazu
2026-09-05,16:50:11,Puerto Buenos Aires,352004466,ASTURIANO III,339.3,Braga
2026-09-05,16:50:11,Puerto Buenos Aires,755043000,AVA PAYAGUA,205.3,Braga
2026-09-05,16:50:11,Puerto Barranqueras,701006277,RAP,460.4,BellaVista
2026-09-05,17:00:15,Muelle Alumbrera,564751000,,175.8,SanLorenzo
2026-09-05,17:00:15,Cofco Internacional Argentina S.A.,563169800,RUBY,148.9,SanLorenzo
2026-09-05,17:00:15,Vicentin S.A.I.C,357458000,BULK ITALY,199.3,SanLorenzo
2026-09-05,17:00:15,Terminal 6 S.A. Muelle Norte,636015600,F. F GLORY,144.8,SanLorenzo
